p2,p3,frac
0.24,0.22,0.15685159999999998
0.24,0.24,0.1624928
0.24,0.26,0.1694224
0.24,0.28,0.17511279999999999
0.24,0.3,0.1816492
0.26,0.0,0.0
0.26,0.02,0.0
0.26,0.04,0.0
0.26,0.06,0.072132
0.26,0.08,0.095572
0.26,0.1,0.1150788
0.26,0.12,0.1341244
0.26,0.14,0.145344
0.26,0.16,0.1497176
0.26,0.18,0.1553316
0.26,0.2,0.1619556
0.26,0.22,0.16888519999999999
0.26,0.24,0.17344639999999997
0.26,0.26,0.17912720000000001
0.26,0.28,0.18666080000000002
0.26,0.3,0.1921
0.28,0.0,0.0
0.28,0.02,0.0
0.28,0.04,0.047031199999999995
0.28,0.06,0.07261640000000001
0.28,0.08,0.0960552
0.28,0.1,0.1175056
0.28,0.12,0.1393684
0.28,0.14,0.152608
0.28,0.16,0.15993279999999999
0.28,0.18,0.165752
0.28,0.2,0.17226960000000002
0.28,0.22,0.1781968
0.28,0.24,0.1848056
0.28,0.26,0.1906376
0.28,0.28,0.1966252
0.28,0.3,0.20182920000000001
0.3,0.0,0.0
0.3,0.02,0.0
0.3,0.04,0.0468756
0.3,0.06,0.07043559999999999
0.3,0.08,0.0945232
0.3,0.1,0.118914
0.3,0.12,0.14170839999999998
0.3,0.14,0.15974919999999998
0.3,0.16,0.16918599999999998
0.3,0.18,0.179042
0.3,0.2,0.18312440000000002
0.3,0.22,0.1877284
0.3,0.24,0.1947148
0.3,0.26,0.2010248
0.3,0.28,0.20568240000000004
0.3,0.3,0.21207399999999998
