kBT,M,chi
3.0,0.708,3.762379031466667
2.9,7.36,4.778608331034483
2.8,9.95,6.765463071428571
2.7,15.002,8.681604740148149
2.6,31.692,12.690027251692307
2.5,38.122,27.516846898559997
2.4,125.088,50.850445375999996
2.3,1017.948,69.54889274713042
2.2,1947.488,5.6849065192726185
2.1,2170.362,0.8868085630475765
2.0,2277.168,0.4067431551998481
1.9,2346.066,0.18801845136873033
1.8,2392.514,0.10821062311095496
1.7,2425.376,0.06973991152907119
1.6,2449.12,0.03983440000005067
1.5,2466.054,0.028542155733207862
1.4,2478.554,0.01731459542842848
1.3,2487.07,0.010263107692106413
1.2,2492.316,0.006038714667161306
1.1,2496.168,0.0030588276362554594
1.0,2498.07,0.0017340399995446206
