kBT,M,chi
1.0,2475.01,10.077475159999729
1.1,1297.24,306.28672814545456
1.2,2479.688,3.560626218666633
1.3,-2482.31,0.8515556615384725
1.4,-173.182,267.78462367885714
1.5,-1966.456,167.05452161706685
1.6,2443.506,0.7022599910001737
1.7,-2406.576,4.14707675858828
1.8,-1683.33,246.22978735555563
1.9,2217.81,39.13562440000004
2.0,-2256.388,5.342701091200113
2.1,-2141.922,6.447764936380976
2.2,1893.882,29.651678195636297
2.3,1449.948,27.648158138434766
2.4,108.524,62.31863157066667
2.5,3.022,25.537765042559997
2.6,-39.334,13.804784068307692
2.7,7.58,8.533054755555556
2.8,-12.124,6.547004660571429
2.9,-6.426,4.777929727448276
