kBT,E,C,sigma
3.0,-2041.64,0.41523050666664624,0.01925024917424894
2.9,-2155.092,0.4324067317954443,0.0209026211645362
2.8,-2271.904,0.4881464685714442,0.02137674745823573
2.7,-2413.156,0.5733956468587202,0.025996179093459887
2.6,-2568.724,0.660122356449623,0.031237528421797566
2.5,-2770.244,0.8673282856959701,0.03893544028818515
2.4,-3017.152,1.1824411733333384,0.053176713557363
2.3,-3387.88,2.2783069640831823,0.09397546333702049
2.2,-3880.252,1.296183842644711,0.0579945631010646
2.1,-4153.688,0.9727621456690115,0.04470867989911693
2.0,-4362.74,0.7311324400000274,0.03531479981555613
1.9,-4521.412,0.5638601945703875,0.02513287094808267
1.8,-4648.432,0.392454984691224,0.016384858022503827
1.7,-4747.196,0.3689602192390749,0.01555253607424536
1.6,-4820.808,0.26452799000020605,0.01139502734551134
1.5,-4877.584,0.20609474560022353,0.009709442424382252
1.4,-4920.62,0.14805869387728826,0.007032447998500469
1.3,-4951.172,0.09466755408418955,0.004213796578502367
1.2,-4971.412,0.06807729333328703,0.0032613323104531866
1.1,-4985.108,0.03968143338753172,0.0021682514528490516
1.0,-4993.124,0.02458904960155487,0.0017700147671998688
