t,max_h,M_s
1020.0,5.979049830575188,902.0
1040.0,6.079302976946054,910.0
1060.0,6.178596130903343,958.0
1080.0,6.276913612907005,912.0
1100.0,6.374239897486897,894.0
1120.0,6.470559615694443,950.0
1140.0,6.565857557529565,930.0
1160.0,6.660118674342516,830.0
1180.0,6.7533280812102445,910.0
1200.0,6.845471059286886,830.0
1220.0,6.936533058128049,814.0
1240.0,7.026499697988492,796.0
1260.0,7.115356772092854,842.0
1280.0,7.20309024887907,816.0
1300.0,7.289686274214114,842.0
1320.0,7.375131173581738,792.0
1340.0,7.459411454241821,786.0
1360.0,7.542513807361038,766.0
1380.0,7.624425110114479,708.0
1400.0,7.705132427757891,710.0
1420.0,7.784623015670235,700.0
1440.0,7.862884321366189,788.0
1460.0,7.939903986478354,790.0
1480.0,8.015669848708765,752.0
1500.0,8.090169943749475,784.0
1520.0,8.163392507171839,768.0
1540.0,8.235325976284274,786.0
1560.0,8.305958991958125,766.0
1580.0,8.375280400421417,708.0
1600.0,8.443279255020151,668.0
1620.0,8.509944817946918,644.0
1640.0,8.575266561936521,628.0
1660.0,8.639234171928353,690.0
1680.0,8.701837546695257,636.0
1700.0,8.763066800438637,676.0
1720.0,8.822912264349533,658.0
1740.0,8.881364488135445,732.0
1760.0,8.938414241512637,714.0
1780.0,8.994052515663709,760.0
1800.0,9.048270524660197,752.0
1820.0,9.101059706849956,708.0
1840.0,9.152411726209175,700.0
1860.0,9.202318473658703,604.0
1880.0,9.250772068344581,626.0
1900.0,9.297764858882514,662.0
1920.0,9.34328942456612,682.0
1940.0,9.38733857653874,666.0
1960.0,9.429905358928645,700.0
1980.0,9.470983049947444,634.0
2000.0,9.510565162951535,600.0
2020.0,9.548645447466429,586.0
2040.0,9.585217890173759,708.0
2060.0,9.620276715860859,702.0
2080.0,9.65381638833274,628.0
2100.0,9.68583161128631,658.0
2120.0,9.716317329146738,620.0
2140.0,9.74526872786577,654.0
2160.0,9.772681235681935,672.0
2180.0,9.798550523842469,686.0
2200.0,9.822872507286887,664.0
2220.0,9.845643345292054,690.0
2240.0,9.866859442078681,702.0
2260.0,9.886517447379141,720.0
2280.0,9.904614256966513,682.0
2300.0,9.921147013144777,672.0
2320.0,9.936113105200084,642.0
2340.0,9.949510169813001,694.0
2360.0,9.961336091431725,716.0
2380.0,9.97158900260614,654.0
2400.0,9.980267284282716,670.0
2420.0,9.987369566060174,706.0
2440.0,9.992894726405892,704.0
2460.0,9.996841892833,678.0
2480.0,9.99921044203816,698.0
2500.0,10.0,688.0
2520.0,9.99921044203816,710.0
2540.0,9.996841892833,716.0
2560.0,9.992894726405892,684.0
2580.0,9.987369566060174,650.0
2600.0,9.980267284282716,702.0
2620.0,9.97158900260614,646.0
2640.0,9.961336091431725,636.0
2660.0,9.949510169813001,616.0
2680.0,9.936113105200084,632.0
2700.0,9.921147013144777,660.0
2720.0,9.904614256966513,694.0
2740.0,9.886517447379141,678.0
2760.0,9.866859442078681,676.0
2780.0,9.845643345292054,608.0
2800.0,9.822872507286887,612.0
2820.0,9.798550523842469,634.0
2840.0,9.772681235681935,652.0
2860.0,9.74526872786577,684.0
2880.0,9.71631732914674,668.0
2900.0,9.685831611286313,648.0
2920.0,9.65381638833274,680.0
2940.0,9.620276715860859,660.0
2960.0,9.585217890173759,622.0
2980.0,9.548645447466429,668.0
3000.0,9.510565162951536,666.0
3020.0,9.470983049947444,656.0
3040.0,9.429905358928645,680.0
3060.0,9.387338576538742,608.0
3080.0,9.34328942456612,696.0
3100.0,9.297764858882514,654.0
3120.0,9.250772068344581,650.0
3140.0,9.202318473658703,684.0
3160.0,9.152411726209177,654.0
3180.0,9.101059706849957,664.0
3200.0,9.048270524660195,664.0
3220.0,8.994052515663713,650.0
3240.0,8.938414241512639,632.0
3260.0,8.881364488135446,694.0
3280.0,8.822912264349535,714.0
3300.0,8.763066800438635,746.0
3320.0,8.701837546695257,764.0
3340.0,8.639234171928354,700.0
3360.0,8.575266561936521,672.0
3380.0,8.50994481794692,642.0
3400.0,8.443279255020151,680.0
3420.0,8.375280400421417,722.0
3440.0,8.305958991958127,752.0
3460.0,8.235325976284273,746.0
3480.0,8.16339250717184,692.0
3500.0,8.090169943749475,756.0
3520.0,8.015669848708765,696.0
3540.0,7.9399039864783525,752.0
3560.0,7.86288432136619,722.0
3580.0,7.784623015670235,726.0
3600.0,7.705132427757892,808.0
3620.0,7.6244251101144815,782.0
3640.0,7.54251380736104,816.0
3660.0,7.459411454241822,832.0
3680.0,7.375131173581739,854.0
3700.0,7.289686274214114,888.0
3720.0,7.203090248879071,830.0
3740.0,7.115356772092855,854.0
3760.0,7.026499697988492,902.0
3780.0,6.936533058128052,884.0
3800.0,6.845471059286885,916.0
3820.0,6.753328081210245,866.0
3840.0,6.660118674342517,832.0
3860.0,6.565857557529564,872.0
3880.0,6.470559615694445,950.0
3900.0,6.374239897486895,946.0
3920.0,6.276913612907006,964.0
3940.0,6.178596130903347,910.0
3960.0,6.079302976946053,932.0
3980.0,5.979049830575191,984.0
4000.0,5.877852522924733,1030.0
4020.0,5.775727034222676,960.0
4040.0,5.672689491267567,954.0
4060.0,5.568756164881878,904.0
4080.0,5.463943467342692,970.0
4100.0,5.358267949789966,976.0
4120.0,5.251746299612956,1010.0
4140.0,5.144395337815066,1020.0
4160.0,5.036232016357609,1044.0
4180.0,4.927273415482915,1130.0
4200.0,4.817536741017152,1172.0
4220.0,4.707039321653328,1170.0
4240.0,4.5957986062148795,1126.0
4260.0,4.483832160900323,1098.0
4280.0,4.371157666509329,1076.0
4300.0,4.257792915650729,1188.0
4320.0,4.143755809932843,1170.0
4340.0,4.029064357136628,1200.0
4360.0,3.9137366683720236,1346.0
4380.0,3.797790955218014,1272.0
4400.0,3.6812455268467814,1180.0
4420.0,3.564118787132508,1240.0
4440.0,3.446429231745171,1280.0
4460.0,3.328195445229865,1216.0
4480.0,3.2094360980720973,1232.0
4500.0,3.090169943749475,1254.0
4520.0,2.970415815770349,1282.0
