t,max_h,M_s
2980.0,9.548645447466429,-40.0
3000.0,9.510565162951536,24.0
3020.0,9.470983049947444,-24.0
3040.0,9.429905358928645,70.0
3060.0,9.387338576538742,86.0
3080.0,9.34328942456612,28.0
3100.0,9.297764858882514,-6.0
3120.0,9.250772068344581,14.0
3140.0,9.202318473658703,-10.0
3160.0,9.152411726209177,10.0
3180.0,9.101059706849957,-96.0
3200.0,9.048270524660195,-18.0
3220.0,8.994052515663713,6.0
3240.0,8.938414241512639,30.0
3260.0,8.881364488135446,4.0
3280.0,8.822912264349535,-20.0
3300.0,8.763066800438635,2.0
3320.0,8.701837546695257,-46.0
3340.0,8.639234171928354,-20.0
3360.0,8.575266561936521,-46.0
3380.0,8.50994481794692,10.0
3400.0,8.443279255020151,54.0
3420.0,8.375280400421417,30.0
3440.0,8.305958991958127,84.0
3460.0,8.235325976284273,38.0
3480.0,8.16339250717184,60.0
3500.0,8.090169943749475,154.0
3520.0,8.015669848708765,152.0
3540.0,7.9399039864783525,260.0
3560.0,7.86288432136619,374.0
3580.0,7.784623015670235,394.0
3600.0,7.705132427757892,352.0
3620.0,7.6244251101144815,408.0
3640.0,7.54251380736104,400.0
3660.0,7.459411454241822,502.0
3680.0,7.375131173581739,496.0
3700.0,7.289686274214114,456.0
3720.0,7.203090248879071,436.0
3740.0,7.115356772092855,460.0
3760.0,7.026499697988492,536.0
3780.0,6.936533058128052,590.0
3800.0,6.845471059286885,590.0
3820.0,6.753328081210245,632.0
3840.0,6.660118674342517,602.0
3860.0,6.565857557529564,674.0
3880.0,6.470559615694445,666.0
3900.0,6.374239897486895,714.0
3920.0,6.276913612907006,792.0
3940.0,6.178596130903347,762.0
3960.0,6.079302976946053,824.0
3980.0,5.979049830575191,796.0
4000.0,5.877852522924733,860.0
4020.0,5.775727034222676,864.0
4040.0,5.672689491267567,964.0
4060.0,5.568756164881878,958.0
4080.0,5.463943467342692,958.0
4100.0,5.358267949789966,1054.0
4120.0,5.251746299612956,1130.0
4140.0,5.144395337815066,1206.0
4160.0,5.036232016357609,1274.0
4180.0,4.927273415482915,1320.0
4200.0,4.817536741017152,1362.0
4220.0,4.707039321653328,1398.0
4240.0,4.5957986062148795,1488.0
4260.0,4.483832160900323,1622.0
4280.0,4.371157666509329,1632.0
4300.0,4.257792915650729,1656.0
4320.0,4.143755809932843,1674.0
4340.0,4.029064357136628,1646.0
4360.0,3.9137366683720236,1770.0
4380.0,3.797790955218014,1748.0
4400.0,3.6812455268467814,1848.0
4420.0,3.564118787132508,1824.0
4440.0,3.446429231745171,1818.0
4460.0,3.328195445229865,1826.0
4480.0,3.2094360980720973,1826.0
4500.0,3.090169943749475,1870.0
4520.0,2.970415815770349,1888.0
4540.0,2.8501926246997646,1870.0
4560.0,2.7295193551732506,1840.0
4580.0,2.6084150628989704,1850.0
4600.0,2.4868988716485525,1942.0
4620.0,2.364989970237246,2050.0
4640.0,2.2427076094938143,2184.0
4660.0,2.120071099220548,2266.0
4680.0,1.9970998051440705,2352.0
4700.0,1.8738131458572502,2386.0
4720.0,1.7502305897527588,2486.0
4740.0,1.6263716519488378,2494.0
4760.0,1.5022558912075712,2494.0
4780.0,1.3779029068463802,2498.0
4800.0,1.2533323356430452,2496.0
4820.0,1.1285638487348186,2494.0
4840.0,1.00361714851215,2500.0
4860.0,0.8785119655074359,2498.0
4880.0,0.7532680552793259,2500.0
4900.0,0.6279051952931358,2500.0
4920.0,0.5024431817976966,2498.0
4940.0,0.37690182669934535,2500.0
4960.0,0.25130095443337813,2498.0
4980.0,0.12566039883352836,2500.0
5000.0,1.2246467991473533e-15,2496.0
5020.0,-0.12566039883352592,2500.0
5040.0,-0.2513009544333757,2500.0
5060.0,-0.3769018266993429,2498.0
5080.0,-0.5024431817976942,2500.0
5100.0,-0.6279051952931335,2494.0
5120.0,-0.7532680552793279,2498.0
5140.0,-0.878511965507429,2494.0
5160.0,-1.0036171485121472,2498.0
5180.0,-1.1285638487348164,2498.0
5200.0,-1.2533323356430384,2494.0
5220.0,-1.3779029068463777,2496.0
5240.0,-1.5022558912075687,2496.0
5260.0,-1.6263716519488307,2498.0
5280.0,-1.7502305897527566,2500.0
5300.0,-1.8738131458572478,2486.0
5320.0,-1.9970998051440683,2494.0
5340.0,-2.1200710992205454,2480.0
5360.0,-2.2427076094938077,2488.0
5380.0,-2.364989970237244,2492.0
5400.0,-2.4868988716485503,2482.0
5420.0,-2.608415062898968,2476.0
5440.0,-2.7295193551732524,2472.0
5460.0,-2.8501926246997575,2478.0
5480.0,-2.970415815770347,2462.0
5500.0,-3.090169943749469,2448.0
5520.0,-3.2094360980720946,2432.0
5540.0,-3.328195445229867,2442.0
5560.0,-3.446429231745168,2420.0
5580.0,-3.564118787132506,2430.0
