i,j,r,pot,Fieldx,Fieldy
1,13,25.495097567963924,0.006017282498327452,0.006025855611672087,-0.0004169794741165759
1,14,25.079872407968907,0.0064257417907717315,0.006436190746322006,-0.0003980647003668106
1,15,24.698178070456937,0.006813411899061073,0.006825879980210518,-0.00037525751102774566
1,16,24.351591323771842,0.007176256812827223,0.007190839138472779,-0.00034831888873022854
1,17,24.041630560342615,0.00751004967652153,0.007526779785234988,-0.0003171195774254003
1,18,23.769728648009426,0.007810495967678023,0.007829334085711891,-0.0002816652324294966
1,19,23.53720459187964,0.008073380141380523,0.008094204661855564,-0.00024211667522062736
1,20,23.345235059857504,0.008294729318119278,0.008317333009216846,-0.0001988022076264192
1,21,23.194827009486403,0.008470984556633362,0.008495076750036818,-0.00015221921668367132
1,22,23.08679276123039,0.00859916775148662,0.008624383215803139,-0.0001030231143057678
1,23,23.021728866442675,0.008677030785244897,0.008702945205330399,-5.2002985820061645e-05
1,24,23.0,0.008703173723126744,0.008729324800989518,-4.5010699812296495e-08
1,25,23.021728866442675,0.008677120806644522,0.008703033146715005,5.191352288316017e-05
1,26,23.08679276123039,0.008599346677360424,0.008624558007389309,0.00010293532350945118
1,27,23.194827009486403,0.00847125015962562,0.008495336215903121,0.0001521342019307056
1,28,23.345235059857504,0.008295078273499013,0.008317673901500311,0.00019872105651593582
1,29,23.53720459187964,0.008073808046593748,0.00809462267976101,0.00024204045260827574
1,30,23.769728648009426,0.007810997368282461,0.00782982390080904,0.0002815949740787491
1,31,24.041630560342615,0.00751061809843625,0.007527335073010149,0.00031705628379353817
1,32,24.351591323771842,0.007176884800695385,0.00719145261585496,0.00034826351890167176
1,33,24.698178070456937,0.006814091060632906,0.0068265434488889165,0.0003752109767546112
1,34,25.079872407968907,0.006426462847186162,0.0064368951418155695,0.0003980278602963741
1,35,25.495097567963924,0.006018035340040158,0.0060265910579975065,0.0004169531282776531
1,36,25.942243542145693,0.005592556590630856,0.005599413675601433,0.00043230832190512686
1,37,26.419689627245813,0.005153418696229904,0.00515877646921164,0.0004444707592945766
1,38,26.92582403567252,0.004703615072041703,0.004707682600895724,0.0004538488564404799
1,39,27.459060435491963,0.0042457209833489445,0.004248707264015281,0.00046086067895285336
1,40,28.0178514522438,0.003781893714135996,0.0037839997897935766,0.0004659162435444097
