time,f
197,-275.3488084877674
198,-275.3503882942417
199,-275.35195299187
200,-275.353502804517
201,-275.3550379515052
202,-275.3565586477294
203,-275.3580651037687
204,-275.35955752599494
205,-275.36103611667704
206,-275.362501074084
207,-275.363952592583
208,-275.36539086273615
209,-275.36681607139315
210,-275.3682284017825
211,-275.3696280335992
212,-275.37101514308983
213,-275.37238990313625
214,-275.37375248333564
215,-275.37510305007913
216,-275.3764417666278
217,-275.37776879318676
218,-275.3790842869769
219,-275.38038840230485
220,-275.38168129063115
221,-275.38296310063595
222,-275.38423397828353
223,-275.3854940668847
224,-275.3867435071576
225,-275.3879824372866
226,-275.38921099298034
227,-275.39042930752726
228,-275.39163751185015
229,-275.39283573455907
230,-275.3940241020034
231,-275.3952027383215
232,-275.39637176548985
233,-275.39753130337056
234,-275.3986814697579
235,-275.39982238042336
236,-275.4009541491595
237,-275.4020768878229
238,-275.4031907063758
239,-275.4042957129269
240,-275.4053920137709
241,-275.40647971342685
242,-275.40755891467614
243,-275.4086297185989
244,-275.40969222461
245,-275.4107465304934
246,-275.41179273243677
247,-275.4128309250642
248,-275.4138612014685
249,-275.4148836532428
250,-275.4158983705112
251,-275.4169054419589
252,-275.41790495486134
253,-275.4188969951126
254,-275.41988164725353
255,-275.4208589944985
256,-275.4218291187623
257,-275.4227921006858
258,-275.4237480196613
259,-275.424696953857
260,-275.4256389802414
261,-275.42657417460646
262,-275.4275026115906
263,-275.4284243647015
264,-275.42933950633756
265,-275.4302481078091
266,-275.43115023935997
267,-275.4320459701871
268,-275.4329353684613
269,-275.43381850134585
270,-275.43469543501635
271,-275.43556623467845
272,-275.4364309645869
273,-275.4372896880628
274,-275.43814246751083
275,-275.43898936443674
276,-275.43983043946355
277,-275.4406657523479
278,-275.44149536199586
279,-275.4423193264786
280,-275.44313770304734
281,-275.4439505481482
282,-275.4447579174371
283,-275.4455598657934
284,-275.44635644733427
285,-275.44714771542783
286,-275.44793372270703
287,-275.44871452108197
288,-275.44949016175326
289,-275.45026069522396
290,-275.4510261713124
291,-275.45178663916334
292,-275.45254214726026
293,-275.4532927434367
294,-275.4540384748871
295,-275.4547793881784
296,-275.4555155292601
297,-275.45624694347526
298,-275.4569736755706
299,-275.4576957697067
300,-275.4584132694676
301,-275.4591262178709
302,-275.45983465737703
303,-275.46053862989845
304,-275.46123817680876
305,-275.4619333389519
306,-275.4626241566506
