i,j,phi,Ex,Ey
1,17,0.0001664454248116818,-8.357453504186137e-06,-0.00016752333393148635
1,18,0.00017443201511421378,-7.538992213483109e-06,-0.00017562470655008492
1,19,0.00018152340923864802,-6.569827413265816e-06,-0.00018282423257987577
1,20,0.0001875716699407454,-5.459191148596859e-06,-0.00018896938644535628
1,21,0.00019244179153584174,-4.223715143714785e-06,-0.00019392062852002212
1,22,0.00019601910022817498,-2.8871047144410312e-06,-0.00019755918807313347
1,23,0.0001982160009647238,-1.4791512595987901e-06,-0.00019979419669185802
1,24,0.00019897740274737256,-3.4120158905252785e-08,-0.00020056844770455145
1,25,0.0001982842412825343,1.4113502220003708e-06,-0.00019986214599322012
1,26,0.00019615470230337182,2.820618336458401e-06,-0.00019769421187124822
1,27,0.0001926430046096175,4.159409283433464e-06,-0.00019412098353993392
1,28,0.0001878358837365049,5.397915867464553e-06,-0.00018923247356702282
1,29,0.0001818471728746884,6.512410808232898e-06,-0.0001831466156683923
1,30,0.0001748110621200391,7.486234397855227e-06,-0.00017600213736306772
1,31,0.00016687470407897794,8.310120776772935e-06,-0.00016795078293548515
1,32,0.00015819082056649323,8.98191730940224e-06,-0.0001591495883794876
1,33,0.00014891086946017346,9.505818791656626e-06,-0.0001497537978449377
1,34,0.00013917918298317998,9.891273771319394e-06,-0.00013991084502091856
1,35,0.00012912832191753468,1.0151725103688476e-05,-0.00012975564026142413
1,36,0.00011887573277580302,1.0303327998437356e-05,-0.0001194072357975676
1,37,0.00010852166592065996,1.0363755811019601e-05,-0.00010896680679289004
1,38,9.814822115376382e-05,1.035116590801274e-05,-9.851679365286256e-05
1,39,8.781933410463448e-05,1.0283362157835442e-05,-8.812100017369707e-05
1,40,7.758149683809294e-05,1.017716126352511e-05,-7.782542629392329e-05
1,41,6.746501157758426e-05,1.004794901622232e-05,-6.76596242584538e-05
1,42,5.74855988056483e-05,9.909399480870543e-06,-5.763839357311996e-05
1,43,4.7646212615843176e-05,9.773323887591256e-06,-4.776366513978609e-05
1,44,3.7938951030465786e-05,9.649614889673011e-06,-3.8026462263515245e-05
1,45,2.8346982836497154e-05,9.546254156684398e-06,-2.8408861652161432e-05
1,46,1.884644271709699e-05,9.469355555370203e-06,-1.8885908643789624e-05
1,47,9.408271725756749e-06,9.423221358548495e-06,-9.42746655814984e-06
1,48,0.0,4.704135862878374e-06,-0.0
2,0,0.0,-9.3250854410017e-06,-0.0
2,1,1.86501708820034e-05,-1.869047280172184e-05,-9.38075573284119e-06
2,2,3.738094560344368e-05,-1.8804950247457156e-05,-1.8804950247457156e-05
2,3,5.626007137691771e-05,-1.8983697641893508e-05,-2.8309669855550005e-05
2,4,7.53483408872307e-05,-1.9217976484092857e-05,-3.792856711732159e-05
2,5,9.469602434510342e-05,-1.949541474668308e-05,-4.769007815158778e-05
2,6,0.00011433917038059686,-1.979987588741901e-05,-5.7615549438121366e-05
2,7,0.00013429577611994144,-2.0111348134643296e-05,-6.771726527906853e-05
2,8,0.00015456186664988345,-2.0405899636202887e-05,-7.799638709615426e-05
2,9,0.00017510757539234721,-2.06557562445431e-05,-8.844084237704706e-05
2,10,0.00019587337913896965,-2.082956847841678e-05,-9.902323466886084e-05
2,11,0.00021676671234918077,-2.0892940387570524e-05,-0.00010969888606367011
2,12,0.0002376592599141107,-2.080929262955363e-05,-0.00012040416827616468
2,13,0.00025838529760828803,-2.054112133425573e-05,-0.00013105532382101274
2,14,0.00027874150258262216,-2.0051689365509434e-05,-0.00014154801851807474
2,15,0.0002984886763393069,-1.930714419882753e-05,-0.0001517578912677455
2,16,0.0003173557909802772,-1.8278995761832897e-05,-0.00016154236487473837
2,17,0.0003350466678629727,-1.6946811059946306e-05,-0.000170743939602365
2,18,0.00035124941310016983,-1.530089864838942e-05,-0.00017919509764524123
2,19,0.00036564846515975153,-1.3344679895271362e-05,-0.00018672479617818928
2,20,0.00037793877289071256,-1.1096395940146355e-05,-0.00019316632441083342
2,21,0.00038784125704004424,-8.589801627777188e-06,-0.00019836606704679705
2,22,0.00039511837614626693,-5.873568171835904e-06,-0.0002021924907808009
2,23,0.00039958839338371605,-3.0092596314179793e-06,-0.00020454450314289266
2,24,0.0004011368954091029,-6.794930136209878e-08,-0.0002053582770768093
2,25,0.00039972429198644024,2.8742358333032304e-06,-0.00020461172769282375
2,26,0.00039538842374249643,5.7411624532862e-06,-0.00020232607442492468
2,27,0.00038824196707986784,8.4617383042254e-06,-0.00019856428513905346
2,28,0.00037846494713404563,1.0974367871541626e-05,-0.0001934266056029369
2,29,0.0003662932313367846,1.3230336203955091e-05,-0.00018704374104542686
2,30,0.00035200427472613545,1.5195832732907145e-05,-0.00017956850332372456
2,31,0.0003359015658709703,1.685254898358012e-05,-0.00017116683027164364
2,32,0.0003182991767589752,1.8196985090547464e-05,-0.00016200902788166943
2,33,0.0002995075956898754,1.9238743358569044e-05,-0.00015226191865169226
2,34,0.0002798216900418371,1.999815758351356e-05,-0.0001420823536641677
2,35,0.00025951128052284825,2.0503609223350956e-05,-0.00013161231293758034
2,36,0.0002388144715951352,2.078883346853409e-05,-0.00012097561636467959
2,37,0.00021793361358578007,2.0890442144705043e-05,-0.0001102761170247491
2,38,0.00019703358730572513,2.084580661919297e-05,-9.959715516601078e-05
2,39,0.00017624200034739414,2.069136735893927e-05,-8.900200906092261e-05
2,40,0.00015565085258784658,2.0461375915243262e-05,-7.853507677597254e-05
2,41,0.0001353192485169076,2.018703272080333e-05,-6.822354761436497e-05
2,42,0.00011527678714623992,1.989595911866772e-05,-5.8079361713036704e-05
2,43,9.552733027957217e-05,1.9611931309604717e-05,-4.8101301685147085e-05
2,44,7.605292452703049e-05,1.9354803487624655e-05,-3.827710485647799e-05
2,45,5.6817723304322864e-05,1.914055361972562e-05,-2.8585524692914657e-05
2,46,3.777181728757925e-05,1.898139509401159e-05,-1.89983036024256e-05
2,47,1.885493311629968e-05,1.8885908643789624e-05,-9.48204593309642e-06
2,48,0.0,9.42746655814984e-06,-0.0
3,0,0.0,-1.4033482069165098e-05,-0.0
3,1,2.8066964138330196e-05,-2.8130035688458855e-05,-9.46749063617214e-06
3,2,5.626007137691771e-05,-2.8309669855550005e-05,-1.8983697641893508e-05
3,3,8.46863038494302e-05,-2.8591107506036572e-05,-2.8591107506036572e-05
3,4,0.00011344228638899085,-2.8961316956377698e-05,-3.83288656300581e-05
3,5,0.0001426089377621856,-2.940179860395447e-05,-4.8231006163981915e-05
3,6,0.0001722458835968998,-2.9888339339122146e-05,-5.8324549718860384e-05
3,7,0.0002023856164404299,-3.039078232779113e-05,-6.862744444393258e-05
3,8,0.00023302744825248205,-3.087288136942704e-05,-7.914634553129989e-05
3,9,0.00026413137917928397,-3.129232779750886e-05,-8.987425579073931e-05
3,10,0.0002956121038474998,-3.1601055583693624e-05,-0.00010078808691934336
3,11,0.0003273334903466712,-3.174594368493959e-05,-0.00011184624824301047
3,12,0.00035910399121737895,-3.167003892064194e-05,-0.00012298642641925446
3,13,0.0003906735681879551,-3.1314411493888096e-05,-0.0001341237828825665
3,14,0.00042173281420515514,-3.062072151028823e-05,-0.00014514985919088558
3,15,0.00045191501120853155,-2.9534511825081536e-05,-0.00015593253285493315
3,16,0.0004808018378553182,-2.8009146403940114e-05,-0.00016631739168229047
3,17,0.0005079333040164118,-2.601018627468901e-05,-0.00017613087304965079
3,18,0.0005328222104046962,-2.3519848789307397e-05,-0.00018518542476268334
3,19,0.0005549730015950266,-2.054105417885802e-05,-0.0001932867701958608
3,20,0.0005739043187624123,-1.710046201720464e-05,-0.0002002430997713405
3,21,0.0005891739256294359,-1.3249881513682261e-05,-0.00020587568421475064
3,22,0.0006004040817897768,-9.065540810536648e-06,-0.00021003006265846096
3,23,0.0006073050072505092,-4.6449375556071974e-06,-0.00021258667814043605
3,24,0.0006096939569009912,-1.0134470883630883e-07,-0.00021346970360608037
3,25,0.0006075076966681818,4.443552873884991e-06,-0.00021265289488795318
3,26,0.0006008068511532212,8.86806089022866e-06,-0.00021016164369031407
3,27,0.0005897715748877244,1.3058878105421258e-05,-0.00020607093077479243
3,28,0.0005746890949423787,1.6918459961091177e-05,-0.0002004994791088612
3,29,0.0005559346549655421,2.037051308744522e-05,-0.0001936009339086085
3,30,0.0005339480687674882,2.3363145171638423e-05,-0.00018555323306033923
3,31,0.0005092083646222652,2.5869596218828085e-05,-0.00017654742477439832
3,32,0.0004822088763298321,2.788682892935365e-05,-0.00016677705988571095
3,33,0.00045343470676355795,2.943249300915837e-05,-0.000156429005695201
3,34,0.00042334389031151534,3.05408794854313e-05,-0.00014567618588140214
3,35,0.00039235294779269535,3.125846240317656e-05,-0.0001346724243929996
3,36,0.0003608269655051622,3.163952391126859e-05,-0.00012354931060258204
3,37,0.00032907389997015817,3.1742217009688426e-05,-0.00011241482903769244
3,38,0.00029734253148578537,3.162527387183924e-05,-0.00010135340725417963
3,39,0.0002658233522264797,3.134544054787367e-05,-9.042701380126623e-05
3,40,0.00023465165039003802,3.095562271008275e-05,-7.967696368063156e-05
3,41,0.0002039121068063142,3.0503664079158162e-05,-6.91261411276194e-05
3,42,0.0001736443222317217,3.0031645410088422e-05,-5.878141292243573e-05
3,43,0.00014384881598613735,2.957558074414996e-05,-4.863606873319486e-05
3,44,0.00011449316074342178,2.9165391881905442e-05,-3.8672181707138646e-05
3,45,8.551803222232647e-05,2.8825055410736793e-05,-2.886282968050209e-05
3,46,5.684304992194819e-05,2.857283431518844e-05,-1.9174154361198963e-05
3,47,2.837236359194959e-05,2.8421524960974096e-05,-9.56726341977064e-06
3,48,0.0,1.4186181795974795e-05,-0.0
4,0,0.0,-1.879257607717384e-05,-0.0
4,1,3.758515215434768e-05,-3.767417044361535e-05,-9.580908660339925e-06
4,2,7.53483408872307e-05,-3.792856711732159e-05,-1.9217976484092857e-05
4,3,0.00011344228638899085,-3.83288656300581e-05,-2.896131695637771e-05
4,4,0.0001520060721473469,-3.88578751420382e-05,-3.88578751420382e-05
4,5,0.00019115803667306725,-3.949109883548536e-05,-4.894969748113743e-05
4,6,0.00023098826981831762,-4.019631416736967e-05,-5.927201151075766e-05
4,7,0.0002715506650078066,-4.0933143947082806e-05,-6.985106778626157e-05
4,8,0.00031285455771248323,-4.165271098300962e-05,-8.070171399934954e-05
4,9,0.00035485608697382584,-4.2297497632586565e-05,-9.182469864092878e-05
4,10,0.00039744955297765636,-4.280156093068794e-05,-0.00010320374158190768
4,11,0.0004404592088352017,-4.309127988748161e-05,-0.00011480246448980421
4,12,0.0004836321127526196,-4.308682726910965e-05,-0.00012656134675916904
4,13,0.000526632863373421,-4.270455410588687e-05,-0.000138394961686626
4,14,0.0005690412209643933,-4.186043933787609e-05,-0.000150189847425381
4,15,0.0006103537420491732,-4.047467669023242e-05,-0.00016180346534096292
