i,j,r,pot,Fieldx,Fieldy
0,0,33.94112549695428,0.0,-0.0,-0.0
0,1,33.24154027718932,0.0,-0.0,-5.0972288361501655e-06
0,2,32.55764119219941,0.0,-0.0,-1.0237021180902137e-05
0,3,31.89043743820395,0.0,-0.0,-1.542279292225243e-05
0,4,31.240998703626616,0.0,-0.0,-2.0629643919717384e-05
0,5,30.610455730027933,0.0,-0.0,-2.5893005727725288e-05
0,6,30.0,0.0,-0.0,-3.123095899549372e-05
0,7,29.410882339705484,0.0,-0.0,-3.6621404993128044e-05
0,8,28.844410203711913,0.0,-0.0,-4.208306299854106e-05
0,9,28.30194339616981,0.0,-0.0,-4.761374704128118e-05
0,10,27.784887978899608,0.0,-0.0,-5.316874737655229e-05
0,11,27.294688127912362,0.0,-0.0,-5.872196317740063e-05
0,12,26.832815729997478,0.0,-0.0,-6.425828332961734e-05
0,13,26.40075756488817,0.0,-0.0,-6.973589120210949e-05
0,14,26.0,0.0,-0.0,-7.507756744272528e-05
0,15,25.632011235952593,0.0,-0.0,-8.024810330963973e-05
0,16,25.298221281347036,0.0,-0.0,-8.517790753338372e-05
0,17,25.0,0.0,-0.0,-8.97846428071612e-05
0,18,24.73863375370596,0.0,-0.0,-9.399037313814821e-05
0,19,24.515301344262525,0.0,-0.0,-9.771589015030683e-05
0,20,24.331050121192877,0.0,-0.0,-0.00010089034263115053
0,21,24.186773244895647,0.0,-0.0,-0.00010344212610234294
0,22,24.08318915758459,0.0,-0.0,-0.00010531159849340571
0,23,24.020824298928627,0.0,-0.0,-0.00010646228271186951
0,24,24.0,0.0,-0.0,-0.00010686666638970363
0,25,24.020824298928627,0.0,-0.0,-0.00010651169172858184
0,26,24.08318915758459,0.0,-0.0,-0.00010540633651208396
0,27,24.186773244895647,0.0,-0.0,-0.00010357701573831557
0,28,24.331050121192877,0.0,-0.0,-0.00010106637623016552
0,29,24.515301344262525,0.0,-0.0,-9.793490657988639e-05
0,30,24.73863375370596,0.0,-0.0,-9.424746237130266e-05
0,31,25.0,0.0,-0.0,-9.007819067586156e-05
0,32,25.298221281347036,0.0,-0.0,-8.550480033012274e-05
0,33,25.632011235952593,0.0,-0.0,-8.060899102970186e-05
0,34,26.0,0.0,-0.0,-7.546264324491812e-05
0,35,26.40075756488817,0.0,-0.0,-7.01313634631185e-05
0,36,26.832815729997478,0.0,-0.0,-6.467242871592748e-05
0,37,27.294688127912362,0.0,-0.0,-5.913705428701377e-05
0,38,27.784887978899608,0.0,-0.0,-5.357378765386158e-05
0,39,28.30194339616981,0.0,-0.0,-4.801545154128491e-05
0,40,28.844410203711913,0.0,-0.0,-4.248398086720044e-05
0,41,29.410882339705484,0.0,-0.0,-3.6996882808928474e-05
0,42,30.0,0.0,-0.0,-3.1565159658223085e-05
0,43,30.610455730027933,0.0,-0.0,-2.6193256849634604e-05
0,44,31.240998703626616,0.0,-0.0,-2.087716645644715e-05
0,45,31.89043743820395,0.0,-0.0,-1.5609911342420358e-05
0,46,32.55764119219941,0.0,-0.0,-1.0383017817492951e-05
0,47,33.24154027718932,0.0,-0.0,-5.184106652031927e-06
0,48,33.94112549695428,0.0,-0.0,-0.0
1,0,33.24154027718932,0.0,-5.0972288361501655e-06,-0.0
1,1,32.526911934581186,1.0194457672300331e-05,-1.0237021180902137e-05,-1.0237021180902107e-05
1,2,31.827660925679098,2.0474042361804275e-05,-1.0325564086102264e-05,-2.0519541837391067e-05
1,3,31.144823004794873,3.084558584450486e-05,-1.0392622738815247e-05,-3.089171511168874e-05
1,4,30.479501308256342,4.125928783943477e-05,-1.0470212805472859e-05,-4.135449277314154e-05
1,5,29.832867780352597,5.1786011455450577e-05,-1.0601315075776334e-05,-5.191041224150148e-05
1,6,29.206163733020468,6.246191799098744e-05,-1.0728399265402756e-05,-6.260883147502544e-05
1,7,28.600699292150182,7.324280998625609e-05,-1.0852104003047342e-05,-7.34505077694899e-05
1,8,28.0178514522438,8.416612599708212e-05,-1.0992342048153133e-05,-8.442039126434188e-05
1,9,27.459060435491963,9.522749408256235e-05,-1.1085684378011232e-05,-9.551707042482596e-05
1,10,26.92582403567252,0.00010633749475310458,-1.1108216136119455e-05,-0.0001067003844690284
1,11,26.419689627245813,0.00011744392635480126,-1.1089535953065052e-05,-0.00011789495758322137
1,12,25.942243542145693,0.00012851656665923469,-1.1013928024708855e-05,-0.00012905772058643185
1,13,25.495097567963924,0.00013947178240421898,-1.0819284113107938e-05,-0.0001401034070216423
1,14,25.079872407968907,0.00015015513488545056,-1.051221210753024e-05,-0.00015089999026537216
1,15,24.698178070456937,0.00016049620661927946,-1.0100340090658436e-05,-0.00016135472105469263
1,16,24.351591323771842,0.00017035581506676743,-9.53653949752147e-06,-0.00017131282644775888
1,17,24.041630560342615,0.0001795692856143224,-8.812465604764497e-06,-0.00018064477973539226
1,18,23.769728648009426,0.00018798074627629643,-7.931247343145629e-06,-0.00018916487454413762
1,19,23.53720459187964,0.00019543178030061365,-6.89996949300232e-06,-0.00019672056842668316
1,20,23.345235059857504,0.00020178068526230107,-5.7262359520361136e-06,-0.00020315837118450048
1,21,23.194827009486403,0.00020688425220468588,-4.421255862255174e-06,-0.0002083509193950913
1,22,23.08679276123039,0.00021062319698681142,-3.0201566095265707e-06,-0.0002121497516269551
1,23,23.021728866442675,0.00021292456542373902,-1.5550678962979262e-06,-0.00021449239620327897
1,24,23.0,0.00021373333277940727,-4.940901671233056e-08,-0.00021530447148958526
1,25,23.021728866442675,0.00021302338345716368,1.4603298776196758e-06,-0.0002145824301498055
1,26,23.08679276123039,0.00021081267302416792,2.9346759902662686e-06,-0.00021233070330914779
1,27,23.194827009486403,0.00020715403147663115,4.339960281918436e-06,-0.0002086047135672873
1,28,23.345235059857504,0.00020213275246033105,5.6421091584291875e-06,-0.00020350316055212098
1,29,23.53720459187964,0.00019586981315977277,6.818913858862866e-06,-0.00019714036423566973
1,30,23.769728648009426,0.00018849492474260531,7.856715904024824e-06,-0.00018965178713894833
1,31,24.041630560342615,0.00018015638135172312,8.742662041179912e-06,-0.00018120238549039494
1,32,24.351591323771842,0.0001710096006602455,9.469199646159698e-06,-0.00017194493834560244
1,33,24.698178070456937,0.00016121798205940373,1.0042157085204622e-05,-0.00016203710272322746
1,34,25.079872407968907,0.00015092528648983624,1.0477627566583364e-05,-0.00015163174913377666
1,35,25.495097567963924,0.000140262726926237,1.0790214528990638e-05,-0.00014085981209381858
1,36,25.942243542145693,0.00012934485743185497,1.0994309176104732e-05,-0.00012984678772359529
1,37,26.419689627245813,0.00011827410857402754,1.1098641062065907e-05,-0.00011869687646474608
1,38,26.92582403567252,0.00010714757530772316,1.1121602745728855e-05,-0.00010749500011402603
1,39,27.459060435491963,9.603090308256983e-05,1.1089806786661135e-05,-9.631087323049932e-05
1,40,28.0178514522438,8.496796173440089e-05,1.1018568732356439e-05,-8.519251230438283e-05
