pS_I,I_var,I_err
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0001247598452464,2.5500487367552047e-05
0.23,0.0,0.0
0.24,0.0,0.0
0.25,5.599998976e-07,2.8281546861118463e-07
0.26,0.0001892398006256,4.214418817775359e-05
0.27,0.0003629988790896,4.992455199838136e-05
0.28,0.0005994393889216,0.00014259687964364714
0.29,0.0433187452540656,0.0027696804052102742
0.3,0.06948790629447041,0.005089325100424034
0.31,0.6007250954546176,0.021691420772875825
0.32,15.087272104046194,0.07051503711461385
0.33,23.6199469361751,0.0876022552646851
0.34,35.103155281775,0.09620032961549922
0.35,45.44580322008573,0.09965107301787733
0.36,54.90201017075324,0.11070528762989464
0.37,65.06812653287008,0.11950533013072517
0.38,73.04834797243232,0.12175802506166103
0.39,82.19872300866253,0.12982005821774698
0.4,90.31414930402175,0.13449618586440257
0.41,97.74574248079965,0.1415195923584365
0.42,106.80889241387365,0.14822198274665163
0.43,115.3201388589414,0.14502689353242604
0.44,121.66270559854058,0.1519972349032192
0.45,129.53434543067377,0.15460607898928846
0.46,136.2693841063782,0.15536178356610317
0.47,143.40326112047032,0.16337944578348418
0.48,149.8435296740791,0.1607821859369799
0.49,156.70006119624475,0.16505568308873678
0.5,163.07107014607737,0.16353259101498446
