pS_I,pR_S,I_frac
0.5,0.25,0.14288679999999998
0.5,0.3,0.1734464
0.5,0.35,0.19963440000000002
0.5,0.4,0.21987440000000003
0.5,0.45,0.2391532
0.5,0.5,0.2556976
0.5,0.55,0.267374
0.5,0.6,0.2817876
0.5,0.65,0.2914948
0.5,0.7,0.3025192
0.5,0.75,0.3096264
0.5,0.8,0.319742
0.5,0.85,0.32618359999999996
0.5,0.9,0.3327152
0.5,0.95,0.33819920000000003
0.5,1.0,0.3446904
0.55,0.0,0.0
0.55,0.05,0.0
0.55,0.1,0.0411516
0.55,0.15,0.08433
0.55,0.2,0.1267056
0.55,0.25,0.1628648
0.55,0.3,0.1942252
0.55,0.35,0.2186916
0.55,0.4,0.24236
0.55,0.45,0.2594536
0.55,0.5,0.2761748
0.55,0.55,0.2907284
0.55,0.6,0.3055472
0.55,0.65,0.3157688
0.55,0.7,0.32669360000000003
0.55,0.75,0.33418600000000004
0.55,0.8,0.3419404
0.55,0.85,0.34985279999999996
0.55,0.9,0.3576228
0.55,0.95,0.3621756
0.55,1.0,0.3687852
0.6,0.0,0.0
0.6,0.05,0.0
0.6,0.1,0.052941999999999996
0.6,0.15,0.0991124
0.6,0.2,0.1402724
0.6,0.25,0.177824
0.6,0.3,0.20930479999999999
0.6,0.35,0.2358768
0.6,0.4,0.25710120000000003
0.6,0.45,0.2776016
0.6,0.5,0.2935392
0.6,0.55,0.30809200000000003
0.6,0.6,0.3200888
0.6,0.65,0.333764
0.6,0.7,0.34434760000000003
0.6,0.75,0.3544176
0.6,0.8,0.36238400000000004
0.6,0.85,0.3703136
0.6,0.9,0.376746
0.6,0.95,0.3836408
0.6,1.0,0.3891364
0.65,0.0,0.0
0.65,0.05,0.0
0.65,0.1,0.0616408
0.65,0.15,0.1114688
0.65,0.2,0.153528
0.65,0.25,0.1887536
0.65,0.3,0.22188519999999998
0.65,0.35,0.24740120000000002
0.65,0.4,0.2698456
0.65,0.45,0.2922016
0.65,0.5,0.30811239999999995
0.65,0.55,0.3242484
0.65,0.6,0.337802
0.65,0.65,0.34899
0.65,0.7,0.3602944
0.65,0.75,0.3703724
0.65,0.8,0.3790076
0.65,0.85,0.3864516
0.65,0.9,0.3937876
0.65,0.95,0.39969
0.65,1.0,0.4070488
0.7,0.0,0.0
0.7,0.05,0.0
0.7,0.1,0.0696044
0.7,0.15,0.11750719999999999
0.7,0.2,0.1610836
0.7,0.25,0.1987264
0.7,0.3,0.23230079999999997
0.7,0.35,0.26005439999999996
0.7,0.4,0.2840264
0.7,0.45,0.3043548
0.7,0.5,0.3217172
