t,x,y
127,6.8,7.2
128,7.2,7.4
129,7.2,7.8
130,7.4,8.2
131,7.8,8.2
132,8.2,8.4
133,8.2,8.8
134,8.4,9.2
135,8.8,9.2
136,9.2,9.4
137,9.2,9.8
138,9.4,10.2
139,9.8,10.2
140,10.2,10.4
141,10.2,10.8
142,10.4,11.2
143,10.8,11.2
144,11.2,11.4
145,11.2,11.8
146,11.4,12.2
147,11.8,12.2
148,12.2,12.4
149,12.2,12.8
150,12.4,13.2
151,12.8,13.2
152,13.2,13.4
153,13.2,13.8
154,13.4,14.2
155,13.8,14.2
156,14.2,14.4
157,14.2,14.8
158,14.4,15.2
159,14.8,15.2
160,15.2,15.4
161,15.2,15.8
162,15.4,16.2
163,15.8,16.2
164,16.2,16.4
165,16.2,16.8
166,16.4,17.2
167,16.8,17.2
168,17.2,17.4
169,17.2,17.8
170,17.4,18.2
171,17.8,18.2
172,18.2,18.4
173,18.2,18.8
174,18.4,19.2
175,18.8,19.2
176,19.2,19.4
177,19.2,19.8
178,19.4,20.2
179,19.8,20.2
180,20.2,20.4
181,20.2,20.8
182,20.4,21.2
183,20.8,21.2
184,21.2,21.4
185,21.2,21.8
186,21.4,22.2
187,21.8,22.2
188,22.2,22.4
189,22.2,22.8
190,22.4,23.2
191,22.8,23.2
192,23.2,23.4
193,23.2,23.8
194,23.4,24.2
195,23.8,24.2
196,24.2,24.4
197,24.2,24.8
198,24.4,25.2
199,24.8,25.2
200,25.2,25.4
201,25.2,25.8
202,25.4,26.2
203,25.8,26.2
204,26.2,26.4
205,26.2,26.8
206,26.4,27.2
207,26.8,27.2
208,27.2,27.4
209,27.2,27.8
210,27.4,28.2
211,27.8,28.2
212,28.2,28.4
213,28.2,28.8
214,28.4,29.2
215,28.8,29.2
216,29.2,29.4
217,29.2,29.8
218,29.4,30.2
219,29.8,30.2
220,30.2,30.4
221,30.2,30.8
222,30.4,31.2
223,30.8,31.2
224,31.2,31.4
225,31.2,31.8
226,31.4,32.2
227,31.8,32.2
228,32.2,32.4
229,32.2,32.8
230,32.4,33.2
231,32.8,33.2
232,33.2,33.4
233,33.2,33.8
234,33.4,34.2
235,33.8,34.2
236,34.2,34.4
237,34.2,34.8
238,34.4,35.2
239,34.8,35.2
240,35.2,35.4
241,35.2,35.8
242,35.4,36.2
243,35.8,36.2
244,36.2,36.4
245,36.2,36.8
246,36.4,37.2
247,36.8,37.2
248,37.2,37.4
249,37.2,37.8
250,37.4,38.2
251,37.8,38.2
252,38.2,38.4
253,38.2,38.8
254,38.4,39.2
255,38.8,39.2
256,39.2,39.4
257,39.2,39.8
258,39.4,40.2
259,39.8,40.2
260,40.2,40.4
261,40.2,40.8
262,40.4,41.2
263,40.8,41.2
264,41.2,41.4
265,41.2,41.8
